timestamp,raw_marlin
"2026-05-18T10:32:04.010Z","ok T:245.47 /245.00 B:84.99 /85.00 @:94 B@:50"
"2026-05-18T10:32:04.015Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:32:04.021Z","ok"
"2026-05-18T10:32:09.154Z","ok T:245.00 /245.00 B:84.99 /85.00 @:108 B@:51"
"2026-05-18T10:32:09.156Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:32:09.159Z","ok"
"2026-05-18T10:32:14.364Z","ok T:244.61 /245.00 B:85.01 /85.00 @:112 B@:47"
"2026-05-18T10:32:14.366Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:32:14.369Z","ok"
"2026-05-18T10:32:19.265Z","ok T:244.61 /245.00 B:85.00 /85.00 @:111 B@:49"
"2026-05-18T10:32:19.268Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:32:19.274Z","ok"
"2026-05-18T10:32:24.342Z","ok T:245.00 /245.00 B:85.00 /85.00 @:104 B@:49"
"2026-05-18T10:32:24.348Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:32:24.355Z","ok"
"2026-05-18T10:32:29.833Z","ok T:245.00 /245.00 B:84.99 /85.00 @:106 B@:51"
"2026-05-18T10:32:29.837Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:32:29.842Z","ok"
"2026-05-18T10:32:35.144Z","ok T:245.00 /245.00 B:85.03 /85.00 @:107 B@:43"
"2026-05-18T10:32:35.145Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:32:35.148Z","ok"
"2026-05-18T10:32:40.371Z","ok T:245.00 /245.00 B:85.03 /85.00 @:107 B@:43"
"2026-05-18T10:32:40.373Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:32:40.378Z","ok"
"2026-05-18T10:32:46.002Z","ok T:245.00 /245.00 B:85.00 /85.00 @:108 B@:48"
"2026-05-18T10:32:46.006Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
